t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq
0.000000,-2.505757617,0.068262145,0.000000000,0.000000000,0.100000000,-0.068788690,0,0.033884989,0
0.010000,-2.505757617,0.068262145,0.000000000,0.000000000,0.200000000,-0.068823067,0,0.033884989,1
0.020000,-2.505757617,0.068262145,0.000000000,0.000000000,0.234332767,-0.068857444,0,0.033884989,2
0.030000,-2.505757617,0.068262145,0.000000000,0.000000000,0.234591633,-0.068891821,0,0.033884989,3
0.040000,-2.505757617,0.068262145,0.000000000,0.000000000,0.235091890,-0.068926199,0,0.033884989,4
0.050000,-2.505757617,0.068262145,0.000000000,0.000000000,0.235953720,-0.068960576,0,0.033884989,5
0.060000,-2.505757617,0.068262145,0.000000000,0.000000000,0.237297362,-0.068994953,0,0.033884989,6
0.070000,-2.505757617,0.068262145,0.012783173,0.000000000,0.239243117,-0.069029330,0,0.033884989,7
0.080000,-2.505757617,0.068262145,0.025566346,0.000000000,0.241910489,-0.069063707,0,0.033884989,8
0.090000,-2.504990627,0.068262145,0.025566346,0.000000000,0.238725224,-0.069098084,0,0.033884989,9
0.100000,-2.504990627,0.068262145,0.012783173,0.000000000,0.244692901,-0.069132461,0,0.033884989,10
0.110000,-2.504990627,0.068262145,0.012783173,0.000000000,0.250894107,-0.069166839,0,0.033884989,11
0.120000,-2.504990627,0.068262145,0.025566346,0.000000000,0.257518621,-0.069201216,0,0.033884989,12
0.130000,-2.504223636,0.068262145,0.038349520,0.000000000,0.258024465,-0.069235593,0,0.033884989,13
0.140000,-2.504223636,0.068262145,0.038349520,0.000000000,0.267395242,-0.069269970,0,0.033884989,14
0.150000,-2.503456646,0.068262145,0.038349520,0.000000000,0.269999512,-0.069304347,0,0.033884989,15
0.160000,-2.503456646,0.068262145,0.051132693,0.000000000,0.280943973,-0.069338724,0,0.033884989,16
0.170000,-2.502689655,0.068262145,0.063915866,0.000000000,0.284692145,-0.069373102,0,0.033884989,17
0.180000,-2.501922665,0.068262145,0.076699039,0.000000000,0.289765976,-0.069407479,0,0.033884989,18
0.190000,-2.501155675,0.068262145,0.076699039,0.000000000,0.295670814,-0.069441856,0,0.033884989,19
0.200000,-2.500388684,0.068262145,0.076699039,0.000000000,0.302036844,-0.069476233,0,0.033884989,20
0.210000,-2.499621694,0.068262145,0.089482213,0.000000000,0.308577456,-0.069510610,0,0.033884989,21
0.220000,-2.498854703,0.068262145,0.102265386,0.000000000,0.315061489,-0.069544987,0,0.033884989,22
0.230000,-2.497320723,0.068262145,0.115048559,0.000000000,0.314646713,-0.069579365,0,0.033884989,23
0.240000,-2.496553732,0.068262145,0.127831732,0.000000000,0.322163214,-0.069613742,0,0.033884989,24
0.250000,-2.495019751,0.068262145,0.140614906,0.000000000,0.321889946,-0.069648119,0,0.033884989,25
0.260000,-2.493485771,0.068262145,0.166181252,0.000000000,0.322232224,-0.069682496,0,0.033884989,26
0.270000,-2.491951790,0.068262145,0.178964425,0.000000000,0.322689967,-0.069716873,0,0.033884989,27
0.280000,-2.489650819,0.068262145,0.191747598,0.000000000,0.316309825,-0.069751250,0,0.033884989,28
0.290000,-2.488116838,0.068262145,0.204530772,0.000000000,0.317908810,-0.069785627,0,0.033884989,29
0.300000,-2.485815867,0.068262145,0.217313945,0.000000000,0.311884089,-0.069820005,0,0.033884989,30
0.310000,-2.483514896,0.068262145,0.230097118,0.000000000,0.306806259,-0.069854382,0,0.033884989,31
0.320000,-2.481213924,0.068262145,0.230097118,0.000000000,0.302251871,-0.069888759,0,0.033884989,32
0.330000,-2.478912953,0.068262145,0.230097118,0.000000000,0.297804783,-0.069923136,0,0.033884989,33
0.340000,-2.476611982,0.068262145,0.230097118,0.000000000,0.293121542,-0.069957513,0,0.033884989,34
0.350000,-2.474311011,0.068262145,0.242880291,0.000000000,0.287953621,-0.069991890,0,0.033884989,35
0.360000,-2.472010040,0.068262145,0.268446638,0.000000000,0.282182053,-0.070026268,0,0.033884989,36
0.370000,-2.468942078,0.068262145,0.281229811,0.000000000,0.269092316,-0.070060645,0,0.033884989,37
0.380000,-2.465874117,0.068262145,0.281229811,0.000000000,0.256991612,-0.070095022,0,0.033884989,38
0.390000,-2.463573145,0.068262145,0.268446638,0.000000000,0.251930035,-0.070129399,0,0.033884989,39
0.400000,-2.460505184,0.068262145,0.268446638,0.000000000,0.238509147,-0.070163776,0,0.033884989,40
0.410000,-2.458204213,0.068262145,0.281229811,0.000000000,0.232030816,-0.070198153,0,0.033884989,41
0.420000,-2.455136251,0.068262145,0.281229811,0.000000000,0.217128526,-0.070232530,0,0.033884989,42
0.430000,-2.452068289,0.068262145,0.281229811,0.000000000,0.202477411,-0.070266908,0,0.033884989,43
0.440000,-2.449767318,0.068262145,0.268446638,0.000000000,0.194372852,-0.070301285,0,0.033884989,44
0.450000,-2.446699357,0.068262145,0.268446638,0.000000000,0.177600550,-0.070335662,0,0.033884989,45
0.460000,-2.444398385,0.068262145,0.268446638,0.000000000,0.167672044,-0.070370039,0,0.033884989,46
0.470000,-2.441330424,0.068262145,0.255663465,0.000000000,0.149413619,-0.070404416,0,0.033884989,47
0.480000,-2.439029453,0.068262145,0.242880291,0.000000000,0.138275827,-0.070438793,0,0.033884989,48
0.490000,-2.436728482,0.068262145,0.217313945,0.000000000,0.125505588,-0.070473171,0,0.033884989,49
0.500000,-2.434427510,0.068262145,0.204530772,0.000000000,0.111337415,-0.070507548,0,0.033884989,50
0.510000,-2.432893530,0.068262145,0.191747598,0.000000000,0.102576719,-0.070541925,0,0.033884989,51
0.520000,-2.430592558,0.068262145,0.178964425,0.000000000,0.084462377,-0.070576302,0,0.033884989,52
0.530000,-2.429058578,0.068262145,0.153398079,0.000000000,0.072787080,-0.070610679,0,0.033884989,53
0.540000,-2.427524597,0.068262145,0.127831732,0.000000000,0.059199651,-0.070645056,0,0.033884989,54
0.550000,-2.426757606,0.068262145,0.115048559,0.000000000,0.050956565,-0.070679434,0,0.033884989,55
0.560000,-2.425223626,0.068262145,0.089482213,0.000000000,0.033503776,-0.070713811,0,0.033884989,56
0.570000,-2.424456635,0.068262145,0.063915866,0.000000000,0.022746241,-0.070748188,0,0.033884989,57
0.580000,-2.424456635,0.068262145,0.038349520,0.000000000,0.017055719,-0.070782565,0,0.033884989,58
0.590000,-2.423689645,0.068262145,0.025566346,0.000000000,0.002091006,-0.070816942,0,0.033884989,59
0.600000,-2.423689645,0.068262145,0.012783173,0.000000000,-0.006100991,-0.070851319,0,0.033884989,60
0.610000,-2.423689645,0.068262145,0.000000000,0.000000000,-0.015701832,-0.070885696,0,0.033884989,61
0.620000,-2.423689645,0.068262145,0.000000000,0.000000000,-0.025989843,-0.070920074,0,0.033884989,62
0.630000,-2.423689645,0.068262145,0.000000000,0.000000000,-0.036443758,-0.070954451,0,0.033884989,63
0.640000,-2.423689645,0.068262145,0.000000000,0.000000000,-0.046682474,-0.070988828,0,0.033884989,64
0.650000,-2.423689645,0.068262145,0.000000000,0.000000000,-0.056484221,-0.071023205,0,0.033884989,65
0.660000,-2.423689645,0.068262145,0.000000000,0.000000000,-0.065729205,-0.071057582,0,0.033884989,66
0.670000,-2.423689645,0.068262145,0.000000000,0.000000000,-0.074337830,-0.071091959,0,0.033884989,67
0.680000,-2.423689645,0.068262145,0.000000000,0.000000000,-0.082277510,-0.071126337,0,0.033884989,68
0.690000,-2.423689645,0.068262145,0.000000000,0.000000000,-0.089613303,-0.071160714,0,0.033884989,69
0.700000,-2.423689645,0.068262145,0.000000000,0.000000000,-0.096441463,-0.071195091,0,0.033884989,70
0.710000,-2.423689645,0.068262145,0.000000000,0.000000000,-0.102866128,-0.071229468,0,0.033884989,71
0.720000,-2.423689645,0.068262145,0.000000000,0.000000000,-0.108996709,-0.071263845,0,0.033884989,72
0.730000,-2.423689645,0.068262145,0.000000000,0.000000000,-0.114946155,-0.071298222,0,0.033884989,73
