t,ref_big,ref_aim,platform,aim,small,tau_big,tau_small,beta_true,beta_hat
0.00000,0.000000,0.000000,-0.000083,0.000754,0.000837,0.400000,0.400000,-0.014287,0.000000
0.01000,0.002366,0.002366,-0.000602,0.003707,0.004309,0.800000,0.682015,-0.014278,0.001561
0.02000,0.009425,0.009425,0.000614,0.009476,0.008862,1.000000,0.677931,-0.014269,0.008004
0.03000,0.021067,0.021067,0.004122,0.018034,0.013912,1.000000,0.670927,-0.014260,0.010223
0.04000,0.037108,0.037108,0.006070,0.029339,0.023270,1.000000,0.651540,-0.014251,0.010216
0.05000,0.057295,0.057295,0.007871,0.043186,0.035315,1.000000,0.621556,-0.014241,0.010228
0.06000,0.081309,0.081309,0.012875,0.059362,0.046487,1.000000,0.590639,-0.014232,0.012521
0.07000,0.108773,0.108773,0.016520,0.077746,0.061225,1.000000,0.549188,-0.014223,0.012514
0.08000,0.139252,0.139252,0.019750,0.098048,0.078298,1.000000,0.500809,-0.014214,0.012518
0.09000,0.172266,0.172266,0.026665,0.119962,0.093296,1.000000,0.455145,-0.014204,0.013634
0.10000,0.207295,0.207295,0.032508,0.143328,0.110821,1.000000,0.402616,-0.014195,0.013630
0.11000,0.243786,0.243786,0.038211,0.167832,0.129621,1.000000,0.349577,-0.014186,0.013634
0.12000,0.281163,0.281163,0.047629,0.193169,0.145540,1.000000,0.304083,-0.014177,0.013748
0.13000,0.318837,0.318837,0.056247,0.219213,0.162966,1.000000,0.259167,-0.014168,0.013746
0.14000,0.356214,0.356214,0.065342,0.245702,0.180359,1.000000,0.217198,-0.014158,0.013756
0.15000,0.392705,0.392705,0.077751,0.272430,0.194678,1.000000,0.187926,-0.014149,0.013795
0.16000,0.427734,0.427734,0.089537,0.299352,0.209816,1.000000,0.159832,-0.014140,0.013795
0.17000,0.460748,0.460748,0.102630,0.326277,0.223648,1.000000,0.131170,-0.014131,0.013813
0.18000,0.491227,0.491227,0.118283,0.353023,0.234740,1.000000,0.080338,-0.014122,0.013844
0.19000,0.518691,0.518691,0.133494,0.379436,0.245942,1.000000,0.036883,-0.014112,0.013846
0.20000,0.542705,0.542705,0.151134,0.405134,0.254000,1.000000,-0.049471,-0.014103,0.013874
0.21000,0.562892,0.562892,0.170607,0.429765,0.259158,1.000000,-0.134536,-0.014094,0.013896
0.22000,0.578933,0.578933,0.190022,0.453019,0.262997,1.000000,-0.200705,-0.014085,0.013901
0.23000,0.590575,0.590575,0.212945,0.474837,0.261892,1.000000,-0.254375,-0.014076,0.013941
0.24000,0.597634,0.597634,0.236624,0.495745,0.259120,1.000000,-0.305274,-0.014066,0.013956
0.25000,0.600000,0.600000,0.260298,0.515553,0.255255,1.000000,-0.352480,-0.014057,0.013966
0.26000,0.600000,0.600000,0.288152,0.533983,0.245831,1.000000,-0.397061,-0.014048,0.015471
0.27000,0.600000,0.600000,0.315877,0.551021,0.235145,0.600000,-0.419123,-0.014039,0.015476
0.28000,0.600000,0.600000,0.343514,0.566555,0.223040,0.399177,-0.450143,-0.014030,0.015479
0.29000,0.600000,0.600000,0.371583,0.580503,0.208920,0.051624,-0.454561,-0.014020,0.015505
0.30000,0.600000,0.600000,0.401003,0.592885,0.191882,-0.177393,-0.451002,-0.014011,0.015547
0.31000,0.600000,0.600000,0.430304,0.603819,0.173515,-0.514880,-0.432363,-0.014002,0.015552
0.32000,0.600000,0.600000,0.459408,0.613415,0.154007,-0.678368,-0.414445,-0.013993,0.014225
0.33000,0.600000,0.600000,0.486083,0.621843,0.135760,-0.965684,-0.388015,-0.013984,0.000103
0.34000,0.600000,0.600000,0.505063,0.629206,0.124143,-0.987925,-0.383082,-0.013974,-0.010426
0.35000,0.600000,0.600000,0.523884,0.635375,0.111491,-1.000000,-0.362350,-0.013965,-0.010449
0.36000,0.600000,0.600000,0.542509,0.640471,0.097963,-1.000000,-0.340461,-0.013956,-0.010421
0.37000,0.600000,0.600000,0.560888,0.644617,0.083729,-1.000000,-0.318304,-0.013947,-0.010403
0.38000,0.600000,0.600000,0.578856,0.647940,0.069084,-1.000000,-0.293478,-0.013938,-0.010449
0.39000,0.600000,0.600000,0.587485,0.650634,0.063148,-1.000000,-0.285619,-0.013928,-0.015293
0.40000,0.600000,0.600000,0.595863,0.652533,0.056670,-1.000000,-0.264241,-0.013919,-0.015324
0.41000,0.600000,0.600000,0.603997,0.653744,0.049747,-0.987415,-0.246082,-0.013910,-0.015299
0.42000,0.600000,0.600000,0.611848,0.654365,0.042517,-0.905001,-0.226978,-0.013901,-0.015275
0.43000,0.600000,0.600000,0.619372,0.654489,0.035117,-0.843257,-0.210481,-0.013892,-0.015303
0.44000,0.600000,0.600000,0.620210,0.654096,0.033886,-0.787431,-0.192962,-0.013883,-0.015429
0.45000,0.600000,0.600000,0.620199,0.653156,0.032957,-0.596796,-0.193776,-0.013873,-0.015487
0.46000,0.600000,0.600000,0.620199,0.651793,0.031593,-0.541848,-0.176711,-0.013864,-0.015479
0.47000,0.600000,0.600000,0.620199,0.650085,0.029886,-0.486439,-0.164009,-0.013855,-0.015440
0.48000,0.600000,0.600000,0.620200,0.648104,0.027905,-0.440286,-0.150488,-0.013846,-0.015400
0.49000,0.600000,0.600000,0.620200,0.645917,0.025718,-0.379173,-0.138160,-0.013837,-0.015383
0.50000,0.600000,0.600000,0.620200,0.643586,0.023386,-0.316729,-0.126911,-0.013828,-0.015411
0.51000,0.600000,0.600000,0.619101,0.641157,0.022056,-0.238974,-0.116381,-0.013818,-0.015499
0.52000,0.600000,0.600000,0.614974,0.638017,0.023043,-0.020950,-0.107009,-0.013809,-0.015625
0.53000,0.600000,0.600000,0.611527,0.634339,0.022813,-0.092316,-0.096680,-0.013800,-0.015681
0.54000,0.600000,0.600000,0.608532,0.630707,0.022175,-0.088946,-0.078917,-0.013791,-0.015677
0.55000,0.600000,0.600000,0.605971,0.627184,0.021213,-0.081678,-0.073832,-0.013782,-0.015621
0.56000,0.600000,0.600000,0.603841,0.623802,0.019961,-0.074877,-0.066945,-0.013773,-0.015522
0.57000,0.600000,0.600000,0.602504,0.620600,0.018096,-0.074380,-0.058311,-0.013763,-0.015389
0.58000,0.600000,0.600000,0.602499,0.617626,0.015127,-0.122196,-0.049899,-0.013754,-0.013548
0.59000,0.600000,0.600000,0.602499,0.614948,0.012449,-0.119702,-0.042334,-0.013745,-0.013435
0.60000,0.600000,0.600000,0.602499,0.612588,0.010090,-0.085102,-0.038718,-0.013736,-0.013355
0.61000,0.600000,0.600000,0.602498,0.610563,0.008065,-0.079711,-0.034508,-0.013727,-0.013312
0.62000,0.600000,0.600000,0.602498,0.608881,0.006383,-0.038550,-0.033089,-0.013718,-0.013309
0.63000,0.600000,0.600000,0.602498,0.607545,0.005048,-0.033049,-0.031669,-0.013709,-0.013347
0.64000,0.600000,0.600000,0.602497,0.606556,0.004059,-0.029181,-0.030684,-0.013699,-0.013425
0.65000,0.600000,0.600000,0.602163,0.605903,0.003740,-0.025827,-0.030537,-0.013690,-0.013541
0.66000,0.600000,0.600000,0.600359,0.604937,0.004579,0.147716,-0.040790,-0.013681,-0.014337
0.67000,0.600000,0.600000,0.599089,0.603667,0.004577,0.144663,-0.037307,-0.013672,-0.014438
0.68000,0.600000,0.600000,0.598137,0.602694,0.004557,0.141600,-0.033913,-0.013663,-0.014495
0.69000,0.600000,0.600000,0.597504,0.602028,0.004524,0.145566,-0.035921,-0.013654,-0.014503
0.70000,0.600000,0.600000,0.597197,0.601669,0.004471,0.040595,-0.033910,-0.013645,-0.014459
0.71000,0.600000,0.600000,0.597172,0.601569,0.004397,-0.078777,-0.055237,-0.013636,-0.014360
0.72000,0.600000,0.600000,0.599549,0.601662,0.002113,-0.078571,-0.052022,-0.013626,-0.012686
0.73000,0.600000,0.600000,0.601555,0.602016,0.000461,-0.170164,-0.052199,-0.013617,-0.012585
0.74000,0.600000,0.600000,0.603008,0.602636,-0.000371,-0.172630,-0.046725,-0.013608,-0.012534
0.75000,0.600000,0.600000,0.603930,0.603458,-0.000472,-0.173956,-0.041015,-0.013599,-0.012537
0.76000,0.600000,0.600000,0.604496,0.604025,-0.000472,0.009887,-0.051627,-0.013590,-0.012601
0.77000,0.600000,0.600000,0.602991,0.604193,0.001203,-0.029870,-0.034723,-0.013581,-0.012725
0.78000,0.600000,0.600000,0.600362,0.603734,0.003372,0.156096,-0.022182,-0.013572,-0.012846
