t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq
0.000000,0.247737897,0.161834973,-0.000000000,0.000000000,-0.084317684,-0.059051608,1,0.205600124,0
0.010000,0.247737897,0.161834973,-0.000000000,-0.012783173,-0.084359822,-0.059067377,1,0.205600124,1
0.020000,0.247737897,0.161067983,-0.012783173,-0.038349520,-0.084401959,-0.052354280,1,0.205600124,2
0.030000,0.247737897,0.161067983,-0.025566346,-0.038349520,-0.084444097,-0.053831930,1,0.205600124,3
0.040000,0.246970907,0.160300992,-0.025566346,-0.038349520,-0.077838218,-0.047852373,1,0.205600124,4
0.050000,0.246970907,0.160300992,-0.025566346,-0.038349520,-0.079584012,-0.049524520,1,0.205600124,5
0.060000,0.246970907,0.159534002,-0.025566346,-0.038349520,-0.080761665,-0.043326593,1,0.205600124,6
0.070000,0.246203916,0.159534002,-0.025566346,-0.038349520,-0.074912540,-0.044479077,1,0.205600124,7
0.080000,0.246203916,0.158767012,-0.025566346,-0.038349520,-0.077162581,-0.037650436,1,0.205600124,8
0.090000,0.246203916,0.158767012,-0.025566346,-0.038349520,-0.078676143,-0.038231156,1,0.205600124,9
0.100000,0.245436926,0.158000021,-0.038349520,-0.038349520,-0.073050702,-0.030940595,1,0.205600124,10
0.110000,0.245436926,0.158000021,-0.038349520,-0.038349520,-0.075449610,-0.031185944,1,0.205600124,11
0.120000,0.244669936,0.157233031,-0.038349520,-0.038349520,-0.070414144,-0.023697724,1,0.205600124,12
0.130000,0.244669936,0.157233031,-0.038349520,-0.038349520,-0.073206113,-0.023890597,1,0.205600124,13
0.140000,0.243902945,0.156466040,-0.038349520,-0.025566346,-0.068432431,-0.016500089,1,0.205600124,14
0.150000,0.243902945,0.156466040,-0.038349520,-0.012783173,-0.071398668,-0.016944227,1,0.205600124,15
0.160000,0.243135955,0.156466040,-0.038349520,-0.012783173,-0.066740910,-0.016608822,1,0.205600124,16
0.170000,0.243135955,0.156466040,-0.038349520,-0.025566346,-0.069784173,-0.015913751,1,0.205600124,17
